{'项目': '蜜糖/蝶恋花收CPA', 'QQ': '643795'}
{'项目': '官方影视产品寻CPA/CPS', 'QQ': '4707644'}
{'项目': '棋牌大平台，实力长期收量', 'QQ': '1277711121'}
{'项目': '棋牌大平台，长期高价收各类流量', 'QQ': '1011220320'}
{'项目': '直播平台直招/CPA量', 'QQ': '22590238'}
{'项目': '直播平台直招/CPA量', 'QQ': '22590238'}
{'项目': '大棋牌公司收量', 'QQ': '770781016'}
{'项目': '蝴蝶花秀-收CPA量', 'QQ': '960143'}
{'项目': 'BoBo花秀直播-CPA收量', 'QQ': '6136680'}
{'项目': '夜色直播-CPA收量', 'QQ': '5295211'}
{'项目': '官方播放器，寻渠道商', 'QQ': '1160799996'}
{'项目': '暴利cps-交友一对一寻渠道', 'QQ': '317349106'}
{'项目': '小甜甜直播-收量', 'QQ': '23307329'}
{'项目': '牡蛎免费领取-收量', 'QQ': '871881526'}
{'项目': '★惊★高暴力直播交友产品收量★', 'QQ': '2877294622'}
{'项目': '爱彩/爱爱你，官方收量', 'QQ': '332504523'}
{'项目': '头条免费开户，政策优惠', 'QQ': '9116583'}
{'项目': '高价收各种量（招大代理）', 'QQ': '1126809'}
{'项目': '招财猫交友官方寻量', 'QQ': '68112782'}
{'项目': '每月3W起的抖音周边项目', 'QQ': '252178892'}
{'项目': '承接app推广注册实名量', 'QQ': '4251010'}
{'项目': '融360', 'QQ': '2462735533'}
{'项目': '信而富理财项目', 'QQ': '137260208'}
{'项目': '信而富', 'QQ': '137260208'}
{'项目': '金融管家100', 'QQ': '583990775'}
{'项目': '金融助手100', 'QQ': '583990775'}
{'项目': '来问公众号', 'QQ': '549127649'}
{'项目': '信而富', 'QQ': '320206121'}
{'项目': '还呗app', 'QQ': '320206121'}
{'项目': '51信用卡管家', 'QQ': '320206121'}
{'项目': '小花钱包', 'QQ': '320206121'}
{'项目': '平安陆金所', 'QQ': '320206121'}
{'项目': '华泰证券', 'QQ': '320206121'}
{'项目': '百度好看', 'QQ': '1119288506'}
{'项目': '腾讯动漫', 'QQ': '1119288506'}
{'项目': '360手机卫士', 'QQ': '1119288506'}
{'项目': '陌陌', 'QQ': '1119288506'}
{'项目': '360影视', 'QQ': '1119288506'}
{'项目': '腾讯理财通', 'QQ': '320206121'}
{'项目': '360清理大师', 'QQ': '1119288506'}
{'项目': '东方头条', 'QQ': '1119288506'}
{'项目': '高德地图', 'QQ': '1119288506'}
{'项目': '信而富扫码注册', 'QQ': '14499092380'}
{'项目': '亿企赚', 'QQ': '1339533255'}
{'项目': '益民宝找地推网推', 'QQ': '282897397'}
{'项目': '承接应用市场下载量评论等', 'QQ': '4251010'}
{'项目': '网申联通卡，充值分成+长期分润', 'QQ': '1450905903'}
{'项目': '爱上街', 'QQ': '898788433'}
{'项目': '淘集集拉新', 'QQ': '898788433'}
{'项目': '直播推广', 'QQ': '1339533255'}
{'项目': '京东支付0.02', 'QQ': '898788433'}
{'项目': 'GEC实名', 'QQ': '898788433'}
{'项目': '中邮消金', 'QQ': '834703631'}
{'项目': '360借条', 'QQ': '834703631'}
{'项目': '全免勉注册东海证券开户打包任务', 'QQ': '1455186'}
{'项目': '招代理', 'QQ': '1305311368'}
{'项目': '电话效果注册回访补量', 'QQ': '1339533255'}
{'项目': '移动新闻头条巴士', 'QQ': '3004633806'}
{'项目': '头条bus', 'QQ': '3004633806'}
{'项目': '头条巴士H5新闻', 'QQ': '3004633806'}
{'项目': 'PC新闻', 'QQ': '3004633806'}
{'项目': '红人直播', 'QQ': '2462735533'}
{'项目': '云闪付接码', 'QQ': '1228269056'}
{'项目': '掌上接码', 'QQ': '1228269056'}
{'项目': '可乐直播', 'QQ': '447288688'}
{'项目': '爱阅读', 'QQ': '447288688'}
{'项目': 'UC浏览器', 'QQ': '447288688'}
{'项目': 'YY语音', 'QQ': '447288688'}
{'项目': '抖音', 'QQ': '2462735533'}
{'项目': '印象直播', 'QQ': '343810563'}
{'项目': '钱包管家APP', 'QQ': '1031442291'}
{'项目': '黄金先生', 'QQ': '1625974385'}
{'项目': '贷款产品，寻效果渠道', 'QQ': '812953103'}
{'项目': '网信理财', 'QQ': '1031442291'}
{'项目': '百度桌面', 'QQ': '170557854'}
{'项目': '秀色直播间', 'QQ': '945924945'}
{'项目': '秀色直播', 'QQ': '945924945'}
{'项目': '嗨秀直播', 'QQ': '945924945'}
{'项目': '乐嗨直播', 'QQ': '945924945'}
{'项目': '蓝月传奇', 'QQ': '170557854'}
{'项目': 'hahe', 'QQ': '1410427492'}
{'项目': 'E闲公众号纯关注', 'QQ': '1410427492'}
{'项目': '闪播视频聊天交友', 'QQ': '3043819663'}
{'项目': '一对一视频交友APP', 'QQ': '3043819663'}
{'项目': '闪播视频聊天', 'QQ': '3043819663'}
{'项目': '一对一视频聊天', 'QQ': '3043819663'}
{'项目': '爱碰app一对一交友cps', 'QQ': '605288200'}
{'项目': '微信辅助（半程操作）', 'QQ': '735725998'}
{'项目': '东方头条下载注册', 'QQ': '4051530'}
{'项目': 'DD拉新淘宝 36元一单', 'QQ': '5729945'}
{'项目': '微信辅助注册', 'QQ': '1145002'}
{'项目': '还呗额度', 'QQ': '6468110'}
{'项目': '惠头条 下载注册', 'QQ': '6468110'}
{'项目': '自营QP,寻推广渠道', 'QQ': '70031480'}
{'项目': 'Ipsos益普索会员招募', 'QQ': '279647258'}
{'项目': '钱贷网2期', 'QQ': '279647258'}
{'项目': '国美', 'QQ': '1164778417'}
{'项目': '淘集集', 'QQ': '898788433'}
{'项目': '【官方】CPS淘宝查小号工具', 'QQ': '1303432679'}
{'项目': '【官方】CPS黑号捕手', 'QQ': '1303432679'}
{'项目': '传奇类手游', 'QQ': '562679406'}
{'项目': '玩转手游盒子CPS合作', 'QQ': '603999680'}
{'项目': '斗米兼职', 'QQ': '855424'}
{'项目': '斗米兼职', 'QQ': '855424'}
{'项目': '9秀直播', 'QQ': '562679406'}
{'项目': '秀色秀场', 'QQ': '2462735533'}
{'项目': '乐嗨', 'QQ': '2462735533'}
